user_id,first_competency_clicked,project_created
1,Collaboration,0
2,Creativity,0
3,Communication,0
4,Communication,0
5,Critical Thinking,0
6,Critical Thinking,0
7,Critical Thinking,0
8,Creativity,1
9,Communication,0
10,Communication,0
11,Critical Thinking,0
12,Creativity,0
13,Creativity,0
14,Critical Thinking,0
15,Critical Thinking,0
16,Critical Thinking,0
17,Collaboration,0
18,Communication,0
19,Collaboration,0
20,Collaboration,0
21,Communication,0
22,Critical Thinking,0
23,Collaboration,1
24,Collaboration,0
25,Collaboration,1
26,Creativity,0
27,Critical Thinking,0
28,Communication,0
29,Communication,0
30,Critical Thinking,0
31,Communication,0
32,Critical Thinking,0
33,Critical Thinking,0
34,Creativity,0
35,Creativity,0
36,Creativity,0
37,Collaboration,0
38,Critical Thinking,1
39,Communication,0
40,Collaboration,1
41,Critical Thinking,0
42,Collaboration,0
43,Critical Thinking,0
44,Creativity,0
45,Collaboration,0
46,Communication,0
47,Collaboration,0
48,Communication,0
49,Communication,0
50,Critical Thinking,0
51,Creativity,0
52,Creativity,0
53,Creativity,0
54,Creativity,0
55,Communication,0
56,Creativity,0
57,Critical Thinking,0
58,Critical Thinking,0
59,Critical Thinking,0
60,Collaboration,0
61,Collaboration,1
62,Collaboration,1
63,Creativity,0
64,Collaboration,0
65,Collaboration,0
66,Communication,0
67,Critical Thinking,0
68,Creativity,0
69,Critical Thinking,1
70,Creativity,0
71,Creativity,0
72,Critical Thinking,0
73,Critical Thinking,0
74,Creativity,0
75,Communication,1
76,Communication,0
77,Creativity,0
78,Critical Thinking,0
79,Collaboration,0
80,Critical Thinking,0
81,Creativity,0
82,Communication,0
83,Collaboration,0
84,Critical Thinking,0
85,Collaboration,0
86,Collaboration,0
87,Communication,0
88,Communication,0
89,Creativity,0
90,Collaboration,0
91,Critical Thinking,0
92,Communication,0
93,Creativity,0
94,Communication,0
95,Creativity,0
96,Collaboration,0
97,Communication,0
98,Collaboration,0
99,Critical Thinking,0
100,Critical Thinking,0
101,Critical Thinking,0
102,Communication,0
103,Collaboration,0
104,Communication,0
105,Creativity,0
106,Critical Thinking,0
107,Collaboration,0
108,Creativity,0
109,Critical Thinking,0
110,Critical Thinking,1
111,Collaboration,1
112,Critical Thinking,0
113,Creativity,0
114,Creativity,0
115,Communication,0
116,Creativity,0
117,Creativity,0
118,Critical Thinking,0
119,Creativity,0
120,Communication,0
121,Creativity,0
122,Creativity,1
123,Collaboration,0
124,Critical Thinking,0
125,Critical Thinking,1
126,Collaboration,0
127,Creativity,0
128,Creativity,0
129,Critical Thinking,0
130,Communication,0
131,Collaboration,0
132,Critical Thinking,0
133,Critical Thinking,0
134,Collaboration,0
135,Creativity,1
136,Collaboration,0
137,Communication,0
138,Communication,0
139,Collaboration,0
140,Creativity,1
141,Creativity,0
142,Collaboration,0
143,Collaboration,0
144,Collaboration,0
145,Collaboration,0
146,Critical Thinking,0
147,Communication,0
148,Communication,1
149,Critical Thinking,0
150,Collaboration,0
151,Creativity,0
152,Critical Thinking,0
153,Critical Thinking,1
154,Collaboration,0
155,Creativity,0
156,Critical Thinking,0
157,Communication,0
158,Creativity,0
159,Critical Thinking,0
160,Communication,0
161,Collaboration,0
162,Communication,0
163,Communication,0
164,Communication,0
165,Critical Thinking,0
166,Creativity,1
167,Collaboration,0
168,Critical Thinking,0
169,Critical Thinking,0
170,Communication,0
171,Communication,0
172,Critical Thinking,0
173,Communication,0
174,Critical Thinking,0
175,Communication,0
176,Critical Thinking,0
177,Communication,1
178,Collaboration,0
179,Creativity,0
180,Critical Thinking,1
181,Collaboration,0
182,Critical Thinking,0
183,Creativity,0
184,Creativity,1
185,Collaboration,0
186,Communication,1
187,Creativity,0
188,Communication,0
189,Communication,1
190,Critical Thinking,0
191,Critical Thinking,0
192,Creativity,0
193,Creativity,0
194,Communication,1
195,Collaboration,0
196,Collaboration,0
197,Communication,0
198,Creativity,0
199,Creativity,0
200,Creativity,0
201,Communication,0
202,Critical Thinking,1
203,Critical Thinking,0
204,Creativity,0
205,Communication,1
206,Critical Thinking,0
207,Critical Thinking,0
208,Communication,0
209,Critical Thinking,0
210,Critical Thinking,0
211,Communication,1
212,Communication,0
213,Communication,0
214,Critical Thinking,0
215,Communication,0
216,Critical Thinking,0
217,Collaboration,0
218,Communication,0
219,Communication,0
220,Creativity,0
221,Communication,0
222,Communication,0
223,Critical Thinking,0
224,Collaboration,0
225,Collaboration,0
226,Critical Thinking,0
227,Creativity,0
228,Collaboration,0
229,Creativity,0
230,Communication,0
231,Creativity,0
232,Communication,0
233,Communication,0
234,Collaboration,0
235,Critical Thinking,0
236,Communication,0
237,Collaboration,0
238,Critical Thinking,0
239,Communication,0
240,Critical Thinking,0
241,Creativity,1
242,Creativity,0
243,Creativity,0
244,Collaboration,1
245,Critical Thinking,0
246,Creativity,0
247,Collaboration,0
248,Creativity,1
249,Creativity,0
250,Creativity,0
251,Collaboration,0
252,Collaboration,1
253,Creativity,0
254,Collaboration,0
255,Critical Thinking,0
256,Communication,0
257,Creativity,0
258,Communication,0
259,Communication,0
260,Critical Thinking,0
261,Communication,0
262,Creativity,0
263,Critical Thinking,0
264,Communication,0
265,Creativity,1
266,Communication,0
267,Communication,0
268,Communication,0
269,Collaboration,0
270,Collaboration,0
271,Creativity,0
272,Creativity,0
273,Creativity,0
274,Creativity,0
275,Communication,0
276,Communication,0
277,Creativity,0
278,Communication,0
279,Communication,1
280,Creativity,0
281,Creativity,1
282,Collaboration,0
283,Collaboration,0
284,Critical Thinking,1
285,Communication,0
286,Critical Thinking,0
287,Collaboration,1
288,Communication,0
289,Collaboration,0
290,Communication,0
291,Critical Thinking,0
292,Critical Thinking,0
293,Creativity,0
294,Collaboration,0
295,Critical Thinking,0
296,Communication,0
297,Creativity,0
298,Critical Thinking,0
299,Communication,0
300,Critical Thinking,0
301,Critical Thinking,0
302,Communication,0
303,Communication,0
304,Communication,1
305,Communication,0
306,Creativity,0
307,Communication,0
308,Collaboration,0
309,Creativity,1
310,Collaboration,0
311,Collaboration,0
312,Critical Thinking,0
313,Critical Thinking,1
314,Creativity,1
315,Creativity,0
316,Communication,0
317,Collaboration,0
318,Critical Thinking,1
319,Critical Thinking,0
320,Collaboration,0
321,Communication,0
322,Communication,0
323,Communication,0
324,Collaboration,1
325,Creativity,0
326,Communication,0
327,Communication,0
328,Communication,0
329,Collaboration,0
330,Critical Thinking,0
331,Collaboration,0
332,Creativity,0
333,Critical Thinking,0
334,Critical Thinking,0
335,Critical Thinking,1
336,Critical Thinking,1
337,Creativity,0
338,Communication,0
339,Collaboration,1
340,Critical Thinking,0
341,Collaboration,0
342,Collaboration,1
343,Critical Thinking,0
344,Collaboration,0
345,Collaboration,1
346,Communication,0
347,Communication,0
348,Critical Thinking,0
349,Collaboration,0
350,Communication,0
351,Communication,0
352,Creativity,1
353,Communication,0
354,Critical Thinking,0
355,Critical Thinking,0
356,Communication,0
357,Critical Thinking,0
358,Communication,1
359,Creativity,1
360,Communication,0
361,Collaboration,0
362,Communication,0
363,Collaboration,0
364,Communication,0
365,Creativity,0
366,Collaboration,1
367,Creativity,0
368,Creativity,0
369,Critical Thinking,0
370,Critical Thinking,0
371,Critical Thinking,0
372,Critical Thinking,0
373,Critical Thinking,0
374,Communication,0
375,Critical Thinking,0
376,Collaboration,0
377,Creativity,0
378,Critical Thinking,0
379,Creativity,0
380,Collaboration,0
381,Critical Thinking,0
382,Communication,0
383,Communication,0
384,Creativity,0
385,Communication,0
386,Creativity,0
387,Collaboration,0
388,Critical Thinking,1
389,Creativity,0
390,Creativity,1
391,Creativity,0
392,Collaboration,0
393,Collaboration,0
394,Creativity,0
395,Collaboration,0
396,Creativity,0
397,Creativity,0
398,Collaboration,0
399,Creativity,0
400,Creativity,1
401,Critical Thinking,0
402,Creativity,1
403,Communication,1
404,Creativity,0
405,Collaboration,0
406,Creativity,1
407,Collaboration,1
408,Critical Thinking,0
409,Creativity,0
410,Critical Thinking,0
411,Collaboration,0
412,Creativity,0
413,Creativity,0
414,Communication,0
415,Communication,0
416,Collaboration,0
417,Collaboration,0
418,Collaboration,0
419,Communication,0
420,Creativity,0
421,Creativity,0
422,Creativity,0
423,Critical Thinking,1
424,Collaboration,0
425,Critical Thinking,0
426,Communication,0
427,Collaboration,1
428,Creativity,0
429,Collaboration,0
430,Critical Thinking,0
431,Critical Thinking,0
432,Creativity,0
433,Communication,0
434,Critical Thinking,0
435,Critical Thinking,0
436,Communication,0
437,Critical Thinking,0
438,Creativity,1
439,Communication,0
440,Critical Thinking,0
441,Critical Thinking,0
442,Creativity,0
443,Collaboration,0
444,Collaboration,1
445,Creativity,0
446,Creativity,0
447,Creativity,0
448,Creativity,0
449,Collaboration,0
450,Critical Thinking,0
451,Creativity,0
452,Communication,0
453,Collaboration,0
454,Creativity,0
455,Critical Thinking,0
456,Collaboration,0
457,Critical Thinking,0
458,Collaboration,0
459,Critical Thinking,1
460,Critical Thinking,1
461,Critical Thinking,0
462,Communication,0
463,Communication,0
464,Communication,0
465,Creativity,0
466,Collaboration,0
467,Collaboration,0
468,Creativity,1
469,Critical Thinking,0
470,Creativity,0
471,Critical Thinking,0
472,Creativity,0
473,Critical Thinking,0
474,Creativity,0
475,Communication,0
476,Creativity,0
477,Critical Thinking,0
478,Communication,0
479,Creativity,0
480,Communication,0
481,Communication,0
482,Communication,0
483,Collaboration,0
484,Communication,0
485,Communication,0
486,Creativity,1
487,Critical Thinking,0
488,Collaboration,0
489,Creativity,0
490,Creativity,1
491,Collaboration,0
492,Communication,0
493,Collaboration,0
494,Critical Thinking,0
495,Collaboration,0
496,Collaboration,0
497,Communication,0
498,Critical Thinking,1
499,Creativity,0
500,Creativity,0
501,Communication,0
502,Communication,0
503,Collaboration,0
504,Creativity,0
505,Communication,0
506,Critical Thinking,0
507,Creativity,0
508,Creativity,0
509,Creativity,0
510,Communication,0
511,Communication,0
512,Collaboration,1
513,Creativity,1
514,Creativity,0
515,Critical Thinking,0
516,Critical Thinking,0
517,Collaboration,0
518,Creativity,0
519,Creativity,0
520,Critical Thinking,0
521,Communication,0
522,Collaboration,0
523,Creativity,0
524,Creativity,0
525,Creativity,0
526,Collaboration,0
527,Collaboration,0
528,Collaboration,0
529,Critical Thinking,0
530,Creativity,0
531,Creativity,0
532,Creativity,0
533,Creativity,0
534,Communication,0
535,Creativity,0
536,Creativity,0
537,Creativity,0
538,Critical Thinking,0
539,Collaboration,0
540,Critical Thinking,0
541,Creativity,0
542,Communication,0
543,Critical Thinking,0
544,Communication,0
545,Communication,0
546,Collaboration,0
547,Critical Thinking,0
548,Communication,0
549,Communication,0
550,Creativity,0
551,Communication,0
552,Creativity,0
553,Communication,1
554,Communication,0
555,Creativity,0
556,Collaboration,0
557,Critical Thinking,0
558,Critical Thinking,0
559,Creativity,0
560,Communication,0
561,Communication,0
562,Critical Thinking,1
563,Critical Thinking,0
564,Critical Thinking,0
565,Collaboration,1
566,Communication,0
567,Collaboration,0
568,Collaboration,0
569,Creativity,0
570,Collaboration,1
571,Communication,1
572,Creativity,0
573,Collaboration,0
574,Communication,0
575,Creativity,0
576,Creativity,0
577,Critical Thinking,0
578,Creativity,1
579,Collaboration,1
580,Collaboration,0
581,Collaboration,0
582,Creativity,0
583,Collaboration,0
584,Collaboration,0
585,Communication,0
586,Critical Thinking,0
587,Critical Thinking,0
588,Critical Thinking,0
589,Critical Thinking,1
590,Critical Thinking,0
591,Critical Thinking,0
592,Communication,0
593,Critical Thinking,0
594,Collaboration,1
595,Creativity,0
596,Collaboration,0
597,Communication,0
598,Critical Thinking,0
599,Critical Thinking,0
600,Critical Thinking,0
601,Critical Thinking,0
602,Collaboration,0
603,Critical Thinking,0
604,Critical Thinking,0
605,Critical Thinking,0
606,Collaboration,0
607,Critical Thinking,0
608,Collaboration,0
609,Communication,0
610,Communication,0
611,Critical Thinking,0
612,Creativity,0
613,Communication,0
614,Critical Thinking,0
615,Creativity,0
616,Creativity,0
617,Critical Thinking,0
618,Collaboration,0
619,Creativity,0
620,Communication,0
621,Critical Thinking,0
622,Critical Thinking,1
623,Collaboration,0
624,Collaboration,0
625,Communication,0
626,Collaboration,0
627,Collaboration,0
628,Communication,0
629,Critical Thinking,0
630,Collaboration,0
631,Communication,0
632,Creativity,0
633,Communication,0
634,Communication,0
635,Critical Thinking,0
636,Collaboration,0
637,Communication,0
638,Critical Thinking,0
639,Collaboration,0
640,Collaboration,0
641,Critical Thinking,0
642,Collaboration,0
643,Critical Thinking,0
644,Collaboration,0
645,Critical Thinking,0
646,Creativity,0
647,Communication,0
648,Communication,0
649,Creativity,0
650,Collaboration,0
651,Critical Thinking,0
652,Communication,0
653,Communication,0
654,Communication,0
655,Collaboration,0
656,Critical Thinking,0
657,Collaboration,0
658,Collaboration,0
659,Communication,1
660,Communication,0
661,Collaboration,0
662,Creativity,0
663,Communication,0
664,Critical Thinking,0
665,Critical Thinking,0
666,Critical Thinking,0
667,Critical Thinking,0
668,Critical Thinking,0
669,Critical Thinking,0
670,Collaboration,0
671,Critical Thinking,0
672,Creativity,0
673,Critical Thinking,0
674,Communication,0
675,Collaboration,1
676,Creativity,0
677,Critical Thinking,0
678,Collaboration,0
679,Creativity,0
680,Creativity,0
681,Creativity,0
682,Collaboration,0
683,Critical Thinking,1
684,Communication,0
685,Creativity,0
686,Communication,0
687,Communication,0
688,Collaboration,1
689,Creativity,0
690,Critical Thinking,0
691,Collaboration,0
692,Collaboration,0
693,Communication,0
694,Critical Thinking,0
695,Critical Thinking,0
696,Communication,0
697,Collaboration,0
698,Communication,0
699,Critical Thinking,1
700,Collaboration,0
701,Communication,0
702,Critical Thinking,0
703,Collaboration,0
704,Critical Thinking,0
705,Critical Thinking,1
706,Creativity,0
707,Collaboration,0
708,Creativity,0
709,Collaboration,0
710,Communication,1
711,Creativity,0
712,Communication,1
713,Collaboration,0
714,Collaboration,1
715,Collaboration,0
716,Creativity,0
717,Creativity,0
718,Creativity,0
719,Critical Thinking,0
720,Communication,0
721,Creativity,0
722,Critical Thinking,0
723,Critical Thinking,0
724,Communication,0
725,Communication,0
726,Creativity,0
727,Critical Thinking,0
728,Creativity,0
729,Critical Thinking,0
730,Critical Thinking,1
731,Critical Thinking,0
732,Creativity,0
733,Communication,0
734,Communication,0
735,Collaboration,0
736,Creativity,0
737,Collaboration,0
738,Creativity,0
739,Collaboration,0
740,Collaboration,0
741,Collaboration,0
742,Collaboration,0
743,Communication,0
744,Communication,1
745,Critical Thinking,0
746,Creativity,0
747,Collaboration,0
748,Communication,1
749,Creativity,1
750,Communication,0
751,Critical Thinking,0
752,Creativity,0
753,Communication,0
754,Collaboration,0
755,Critical Thinking,1
756,Creativity,0
757,Communication,0
758,Communication,0
759,Creativity,0
760,Creativity,0
761,Critical Thinking,0
762,Collaboration,1
763,Critical Thinking,1
764,Communication,0
765,Critical Thinking,0
766,Communication,0
767,Creativity,0
768,Creativity,0
769,Collaboration,0
770,Creativity,1
771,Critical Thinking,0
772,Creativity,0
773,Critical Thinking,0
774,Collaboration,0
775,Creativity,0
776,Critical Thinking,0
777,Critical Thinking,0
778,Communication,0
779,Communication,0
780,Communication,0
781,Communication,0
782,Communication,0
783,Collaboration,0
784,Collaboration,0
785,Critical Thinking,0
786,Creativity,1
787,Communication,0
788,Collaboration,0
789,Collaboration,1
790,Creativity,0
791,Critical Thinking,0
792,Communication,0
793,Communication,1
794,Communication,1
795,Critical Thinking,0
796,Creativity,0
797,Creativity,0
798,Communication,1
799,Communication,1
800,Creativity,0
801,Communication,0
802,Critical Thinking,0
803,Communication,0
804,Communication,0
805,Collaboration,0
806,Communication,0
807,Creativity,0
808,Creativity,1
809,Collaboration,0
810,Critical Thinking,0
811,Creativity,0
812,Creativity,1
813,Critical Thinking,0
814,Creativity,0
815,Creativity,0
816,Communication,0
817,Communication,0
818,Collaboration,0
819,Critical Thinking,1
820,Collaboration,0
821,Creativity,1
822,Critical Thinking,0
823,Collaboration,0
824,Collaboration,0
825,Communication,0
826,Creativity,0
827,Collaboration,0
828,Collaboration,0
829,Communication,0
830,Collaboration,0
831,Critical Thinking,1
832,Collaboration,0
833,Critical Thinking,0
834,Critical Thinking,0
835,Collaboration,0
836,Collaboration,0
837,Creativity,1
838,Collaboration,0
839,Communication,0
840,Communication,0
